Loading data...
Data ready: 1281 events, 19 cities with ensemble

======================================================================
C1f Autoresearch — 150 trials
  Gen 1 (random): trials 1-50
  Gen 2 (perturb best): trials 51-100
  Gen 3 (fine-tune top 3): trials 101-150
======================================================================
  [G2]  66/150 score= 147.1 trades=203 WR=37.4% PnL=$   38,063 DD=18.7%
  [G2]  67/150 score= 148.9 trades=167 WR=39.5% PnL=$   39,037 DD=21.4%
  [G2]  68/150 score= 150.3 trades=258 WR=34.9% PnL=$   70,067 DD=24.6%
  [G2]  69/150 score= 149.7 trades=261 WR=33.7% PnL=$   78,442 DD=27.0%
  [G2]  70/150 score= 151.8 trades=214 WR=36.0% PnL=$   64,377 DD=22.5% ★
  [G2]  71/150 score= 151.8 trades=214 WR=36.0% PnL=$   64,377 DD=22.5% ★
  [G2]  72/150 score= 151.8 trades=214 WR=36.0% PnL=$   64,377 DD=22.5% ★
  [G2]  73/150 score= 149.3 trades=190 WR=38.9% PnL=$   41,306 DD=19.7%
  [G2]  74/150 score= 151.8 trades=195 WR=36.9% PnL=$   52,717 DD=21.1%
  [G2]  75/150 score= 142.4 trades=251 WR=32.7% PnL=$   46,404 DD=24.8%
  [G2]  76/150 score= 150.6 trades=190 WR=36.3% PnL=$   51,966 DD=21.6%
  [G2]  77/150 score= 147.4 trades=276 WR=31.2% PnL=$   60,072 DD=24.0%
  [G2]  78/150 score= 138.1 trades=190 WR=38.9% PnL=$   22,052 DD=16.3%
  [G2]  79/150 score= 151.8 trades=214 WR=36.0% PnL=$   64,377 DD=22.5% ★
  [G2]  80/150 score= 153.0 trades=196 WR=36.7% PnL=$   49,416 DD=20.0% ★
  [G2]  81/150 score= 152.6 trades=194 WR=36.6% PnL=$   53,468 DD=21.5%
  [G2]  82/150 score= 138.4 trades=211 WR=33.2% PnL=$   28,882 DD=24.4%
  [G2]  83/150 score= 143.7 trades=230 WR=32.2% PnL=$   42,580 DD=22.1%
  [G2]  84/150 score= 135.5 trades=298 WR=30.5% PnL=$   38,567 DD=23.5%
  [G2]  85/150 score= 150.6 trades=159 WR=39.6% PnL=$   38,981 DD=18.5%
  [G2]  86/150 score= 150.6 trades=162 WR=38.9% PnL=$   39,756 DD=18.8%
  [G2]  87/150 score= 150.6 trades=213 WR=35.2% PnL=$   49,031 DD=23.8%
  [G2]  88/150 score= 153.0 trades=196 WR=36.7% PnL=$   51,478 DD=20.1%
  [G2]  89/150 score= 153.0 trades=196 WR=36.7% PnL=$   51,478 DD=20.1%
  [G2]  90/150 score= 139.7 trades=228 WR=31.6% PnL=$   38,254 DD=35.7%
  [G2]  91/150 score= 141.3 trades=200 WR=35.0% PnL=$   31,566 DD=18.6%
  [G2]  92/150 score= 151.5 trades=202 WR=36.1% PnL=$   45,934 DD=20.0%
  [G2]  93/150 score= 147.5 trades=205 WR=35.6% PnL=$   41,490 DD=23.4%
  [G2]  94/150 score= 152.8 trades=204 WR=35.8% PnL=$   52,106 DD=20.4%
  [G2]  95/150 score= 144.0 trades=289 WR=32.5% PnL=$   58,704 DD=26.6%
  [G2]  96/150 score= 145.9 trades=229 WR=31.0% PnL=$   47,289 DD=24.7%
  [G2]  97/150 score= 132.5 trades=223 WR=31.4% PnL=$   22,872 DD=30.1%
  [G2]  98/150 score= 131.5 trades=313 WR=31.3% PnL=$   28,144 DD=19.9%
  [G2]  99/150 score= 144.0 trades=257 WR=32.3% PnL=$   47,198 DD=22.6%
  [G2] 100/150 score= 151.9 trades=196 WR=36.7% PnL=$   86,112 DD=23.1%
  [G3] 101/150 score= 151.1 trades=201 WR=35.3% PnL=$   45,207 DD=19.6%
  [G3] 102/150 score= 146.8 trades=173 WR=37.6% PnL=$   35,396 DD=19.3%
  [G3] 103/150 score= 149.3 trades=191 WR=36.1% PnL=$   40,825 DD=19.5%
  [G3] 104/150 score= 142.2 trades=196 WR=36.7% PnL=$   28,351 DD=16.9%
  [G3] 105/150 score= 152.8 trades=196 WR=36.7% PnL=$   50,529 DD=20.2%
  [G3] 106/150 score= 152.0 trades=190 WR=36.8% PnL=$   45,967 DD=19.7%
  [G3] 107/150 score= 148.9 trades=170 WR=37.6% PnL=$   38,193 DD=20.0%
  [G3] 108/150 score= 152.6 trades=188 WR=37.2% PnL=$   49,430 DD=20.1%
