================================================================================================================================================================
STRATEGY C OPTIMIZATION v6 — 20 CITIES + METAR CALIBRATION
================================================================================================================================================================

--- Phase 1: Baseline ---
  [  1] baseline_20cities                                                 | comp=   70.7769 | trades=3590 | sharpe=  11.99 | win= 69.2% | pnl= 177.4% | dd= 0.75% | 1s
  [ 41] d1_mult=1.8                                                       | comp=   71.8383 | trades=3762 | sharpe=  11.89 | win= 68.8% | pnl= 195.1% | dd= 0.75% | 20s
  [ 42] d1_mult=2.0                                                       | comp=   71.2576 | trades=3687 | sharpe=  11.91 | win= 68.9% | pnl= 186.7% | dd= 0.75% | 20s
  [ 43] d1_mult=2.2                                                       | comp=   70.4916 | trades=3603 | sharpe=  11.92 | win= 69.0% | pnl= 177.7% | dd= 0.75% | 21s
  [ 44] d1_mult=2.5                                                       | comp=   70.6285 | trades=3603 | sharpe=  11.95 | win= 69.1% | pnl= 178.1% | dd= 0.75% | 21s
  [ 45] d1_mult=3.0                                                       | comp=   70.7933 | trades=3596 | sharpe=  11.99 | win= 69.2% | pnl= 178.0% | dd= 0.75% | 22s

--- Phase 3: Combined sweeps ---
  Best Phase 2: sharp=0.95 = 76.9466
  [ 46] mfp=0.55 maxp=0.4 s=1.05                                          | comp=   70.2994 | trades=3418 | sharpe=  12.20 | win= 69.7% | pnl= 172.6% | dd= 0.71% | 22s
  [ 47] mfp=0.55 maxp=0.4 s=1.1                                           | comp=   66.9876 | trades=3072 | sharpe=  12.26 | win= 69.9% | pnl= 146.6% | dd= 0.69% | 23s
  [ 48] mfp=0.55 maxp=0.4 s=1.15                                          | comp=   64.7028 | trades=2684 | sharpe=  12.64 | win= 70.8% | pnl= 124.7% | dd= 0.59% | 23s
  [ 49] mfp=0.55 maxp=0.4 s=1.2                                           | comp=   64.3757 | trades=2304 | sharpe=  13.60 | win= 73.1% | pnl= 108.6% | dd= 0.70% | 24s
  [ 50] mfp=0.55 maxp=0.43 s=1.05                                         | comp=   74.0585 | trades=3800 | sharpe=  12.17 | win= 70.6% | pnl= 191.9% | dd= 0.64% | 24s
  [ 51] mfp=0.55 maxp=0.43 s=1.1                                          | comp=   70.6135 | trades=3414 | sharpe=  12.25 | win= 70.9% | pnl= 162.3% | dd= 0.66% | 25s
  [ 52] mfp=0.55 maxp=0.43 s=1.15                                         | comp=   68.2813 | trades=2992 | sharpe=  12.63 | win= 71.7% | pnl= 137.8% | dd= 0.58% | 26s
  [ 53] mfp=0.55 maxp=0.43 s=1.2                                          | comp=   67.1783 | trades=2567 | sharpe=  13.50 | win= 73.8% | pnl= 119.0% | dd= 0.89% | 26s
  [ 54] mfp=0.55 maxp=0.46 s=1.05                                         | comp=   76.0614 | trades=3987 | sharpe=  12.18 | win= 71.2% | pnl= 201.2% | dd= 0.56% | 27s
  [ 55] mfp=0.55 maxp=0.46 s=1.1                                          | comp=   72.4469 | trades=3571 | sharpe=  12.29 | win= 71.5% | pnl= 169.8% | dd= 0.66% | 27s
  [ 56] mfp=0.55 maxp=0.46 s=1.15                                         | comp=   70.0631 | trades=3128 | sharpe=  12.65 | win= 72.3% | pnl= 143.7% | dd= 0.50% | 28s
  [ 57] mfp=0.55 maxp=0.46 s=1.2                                          | comp=   68.9738 | trades=2685 | sharpe=  13.52 | win= 74.4% | pnl= 124.0% | dd= 0.76% | 28s
  [ 58] mfp=0.55 maxp=0.5 s=1.05                                          | comp=   76.4383 | trades=4074 | sharpe=  12.11 | win= 71.3% | pnl= 204.4% | dd= 0.56% | 29s
  [ 59] mfp=0.55 maxp=0.5 s=1.1                                           | comp=   72.9325 | trades=3651 | sharpe=  12.23 | win= 71.6% | pnl= 172.7% | dd= 0.66% | 29s
  [ 60] mfp=0.55 maxp=0.5 s=1.15                                          | comp=   70.6744 | trades=3201 | sharpe=  12.62 | win= 72.5% | pnl= 146.3% | dd= 0.50% | 30s
  [ 61] mfp=0.55 maxp=0.5 s=1.2                                           | comp=   69.5413 | trades=2750 | sharpe=  13.47 | win= 74.6% | pnl= 126.2% | dd= 0.76% | 30s
  [ 62] mfp=0.55 maxp=0.55 s=1.05                                         | comp=   76.5395 | trades=4098 | sharpe=  12.09 | win= 71.4% | pnl= 205.2% | dd= 0.56% | 31s
  [ 63] mfp=0.55 maxp=0.55 s=1.1                                          | comp=   73.0060 | trades=3673 | sharpe=  12.21 | win= 71.7% | pnl= 173.3% | dd= 0.66% | 31s
  [ 64] mfp=0.55 maxp=0.55 s=1.15                                         | comp=   70.7275 | trades=3219 | sharpe=  12.59 | win= 72.6% | pnl= 146.8% | dd= 0.50% | 32s
  [ 65] mfp=0.55 maxp=0.55 s=1.2                                          | comp=   69.5935 | trades=2766 | sharpe=  13.44 | win= 74.6% | pnl= 126.7% | dd= 0.76% | 32s
  [ 66] mfp=0.6 maxp=0.4 s=1.05                                           | comp=   61.3821 | trades=2013 | sharpe=  13.85 | win= 73.6% | pnl=  87.4% | dd= 0.60% | 33s
  [ 67] mfp=0.6 maxp=0.4 s=1.1                                            | comp=   58.3213 | trades=1733 | sharpe=  14.14 | win= 74.2% | pnl=  72.2% | dd= 0.45% | 33s
